"EPA Registration Number","Active Ingredient(s)","Product Name","Company","To kill SARS-CoV-2 (COVID-19), follow disinfection directions for the following virus(es)","Contact Time (in minutes)","Formulation Type","Surface Types","Use Sites","Emerging Viral Pathogen Claim?","Date Added to List N"
"5813-103","Sodium hypochlorite","CGB3","The Clorox Company","Human coronavirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"5813-104","Sodium hypochlorite","CGB4","The Clorox Company","Human coronavirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"5813-106","Sodium hypochlorite","Axl","The Clorox Company","Human coronavirus","1","Ready-to-use","Hard Nonporous (HN)","Residential","No","03/13/2020"
"5813-50","Sodium hypochlorite","Ultra Clorox Brand Regular Bleach","The Clorox Company","Human coronavirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"5813-73","Quaternary ammonium","Clorox Everest","The Clorox Company","Human coronavirus","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","No","03/13/2020"
"5813-86","Glycolic acid","CBW","The Clorox Company","Human coronavirus","10","Impregnated materials","Hard Nonporous (HN)","Residential","No","03/13/2020"
"5813-98","Sodium hypochlorite","Lite","The Clorox Company","Human coronavirus","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","No","03/13/2020"
"5813-99","Sodium hypochlorite","Wave","The Clorox Company","Human coronavirus","1","Wipe","Hard Nonporous (HN)","Institutional; Residential","No","03/13/2020"
"61178-1","Quaternary ammonium","D-125","Microgen Inc","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"61178-5","Quaternary ammonium","CCX-151","Microgen Inc","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"6198-4","Quaternary ammonium","Q. A. Concentrated Solution","National Chemicals Inc","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"62472-2","Quaternary ammonium","Kennelsol HC","Alpha Tech Pet Inc","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Institutional; Residential","No","03/13/2020"
"67619-10","Quaternary ammonium","CPPC Everest","Clorox Professional Products Company","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"67619-11","Sodium hypochlorite","CPPC Shower","Clorox Professional Products Company","Human coronavirus","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"67619-13","Sodium hypochlorite","CPPC Storm","Clorox Professional Products Company","Human coronavirus","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"67619-27","Sodium hypochlorite","Buster","Clorox Professional Products Company","Human coronavirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"67619-28","Sodium hypochlorite","Milo","Clorox Professional Products Company","Human coronavirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"67619-8","Sodium hypochlorite","CPPC Ultra Bleach 2","Clorox Professional Products Company","Human coronavirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"6836-381","Quaternary ammonium","Lonzagard R-82G","Lonza LLC","Human coronavirus","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"6836-382","Quaternary ammonium","Nugen Low Streak Disinfectant Wipes","Lonza LLC","Human coronavirus","4","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"70590-2","Sodium hypochlorite","Bleach-rite Disinfecting Spray With Bleach","Current Technologies Inc","Human coronavirus","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","No","03/13/2020"
"70627-15","Quaternary ammonium","Warrior","Diversey Inc","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","No","03/13/2020"
"70627-2","Quaternary ammonium","Disinfectant D.C. 100","Diversey Inc","Human coronavirus","2","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","No","03/13/2020"
"70627-23","Quaternary ammonium","Virex™ II/ 64","Diversey Inc","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","No","03/13/2020"
"70627-6","Phenolic","Phenolic Disinfectant HG","Diversey Inc","Human coronavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","No","03/13/2020"
"70627-63","Quaternary ammonium","512 Sanitizer","Diversey Inc","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","No","03/13/2020"
"70627-78","Hydrogen peroxide","Suretouch","Diversey Inc","Human coronavirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","No","03/13/2020"
"72977-5","Silver ion; Citric acid","Sdc3a","ETI H2O Inc","Human coronavirus","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"74559-6","Hydrogen peroxide","Oxy-res (Concentrate)","Virox Technologies Inc","Human coronavirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"74559-8","Hydrogen peroxide","Accel 5 RTU","Virox Technologies Inc","Human coronavirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"777-136","Ethanol (Ethyl alcohol)","Lysol® Neutra Air® 2 in 1","Reckitt Benckiser LLC","Human coronavirus","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"74986-5","Sodium chlorite","Selectrocide 5g","Selective Micro Technologies LLC","Human coronavirus","10","Solid","Hard Nonporous (HN)","Healthcare; Institutional","No","03/13/2020"
"777-130","Quaternary ammonium","Caterpillar","Reckitt Benckiser LLC","Human coronavirus","2.5 (2 minutes & 30 seconds)","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"8383-14","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","PeridoxRTU™ (Brand) One-step Germicidal Wipes","Contec Inc","Human coronavirus","0.5 (30 seconds)","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","No","03/13/2020"
"777-66","Quaternary ammonium","Lysol® Brand All Purpose Cleaner","Reckitt Benckiser LLC","Human coronavirus","2","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"777-82","Quaternary ammonium","Lysol® Brand Deodorizing Disinfectant Cleaner","Reckitt Benckiser LLC","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Institutional; Residential","No","03/13/2020"
"777-91","Quaternary ammonium","Lysol® Kitchen Pro Antibacterial Cleaner","Reckitt Benckiser LLC","Human coronavirus","2","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
"8383-7","Phenolic","Sporicidin (Brand) Disinfectant Towelettes","Contec Inc","Human coronavirus","5","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"85343-1","Quaternary ammonium","Teccare Control","Talley Environmental Care Limited","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"88494-1","Quaternary ammonium; Ethanol (Ethyl alcohol)","Wedge Disinfectant","North American Infection Control LTD","Human coronavirus","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"89896-2","Hypochlorous acid","Cleansmart","Simple Science Limited","Human coronavirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","No","03/13/2020"
"89900-1","Hydrogen peroxide","Nathan 2","S.C. Johnson Professional","Human coronavirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"90287-1","Quaternary ammonium","Maquat 25.6-PDX","VI-JON Inc","Human coronavirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"9402-14","Hydrogen peroxide; Ammonium carbonate; Ammonium bicarbonate","Hitman Spray","Kimberly-Clark Global Sales LLC","Human coronavirus","5","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","No","03/13/2020"
"9402-15","Hydrogen peroxide; Ammonium carbonate; Ammonium bicarbonate","Victor Spray","Kimberly-Clark Global Sales LLC","Human coronavirus","5","Pressurized liquid","Hard Nonporous (HN)","Healthcare; Institutional; Residential","No","03/13/2020"
"9402-17","Hydrogen peroxide; Ammonium carbonate; Ammonium bicarbonate","Hitman Wipe","Kimberly-Clark Global Sales LLC","Human coronavirus","6","Wipe","Hard Nonporous (HN)","Institutional; Residential","No","03/13/2020"
"9480-5","Quaternary ammonium","Sani-cloth Germicidal Disposable Cloth","Professional Disposables International Inc","Human coronavirus","3","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","No","03/13/2020"
